,0,1
0,0.00034806456800253767,3.3984174921280996e-06
1,5.161010694997909e-05,0.00015695558601300653
2,6.46054824099776e-05,1.9291188089538026e-06
3,0.00028749454938693493,1.5106172946349073e-05
4,5.811834286218241e-05,7.870303799656914e-05
5,0.00041437883867521377,7.850652939239403e-05
6,0.000825131847511054,3.109197071759891e-05
7,3.934368635762199e-05,7.84688207464651e-05
8,0.0004146880828990043,4.794605234718916e-06
9,2.749328144396424e-05,2.628628315360015e-06
10,1.9464747694160467e-05,8.462833757820562e-06
11,1.2894936451332888e-05,1.3704949469756523e-06
12,0.00041327674355905473,0.00015692955814077743
