,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,8,-8.963442827332037e-07,1.4822643367516081e-06,-4.373496565352533e-06,1.2587892016081737e-07
2.4852e-06,8,2.4395297881091537e-07,1.6069072836237128e-06,-3.004596894400326e-06,1.477294803400418e-06
4.905e-06,8,3.40673803527742e-06,1.5104849486434225e-06,2.4124419138671654e-08,4.830733287334978e-06
9.81e-06,8,1.2212250862973353e-05,1.7285067575277292e-06,8.249158801107706e-06,1.4030157800383664e-05
1.962e-05,8,2.308636671235704e-05,1.2896791190584212e-06,2.1184538930963315e-05,2.480015996561231e-05
3.924e-05,8,4.340244838596695e-05,1.3384209768721797e-06,4.1526442445917863e-05,4.53916905148954e-05
7.848e-05,8,8.326253075650521e-05,1.474160706686299e-06,8.146323978079279e-05,8.49494735922518e-05
0.00015696,8,0.00015230284122789457,3.559558726513431e-06,0.00014816581703416042,0.00015841166687326444
