,ФК,ФК,ФК,ФК,ФК
,count,mean,std,amin,amax
ФК - реал,,,,,
6.448e-06,7,4.509548297028009e-06,1.4697776657107008e-05,-1.8972629511114264e-05,1.896139702554906e-05
1.2896e-05,6,1.1295312549094998e-05,1.8504662686191462e-05,-1.2508444531803153e-05,3.307320948297502e-05
2.5792e-05,8,3.398163663390129e-05,1.788573653011694e-05,9.584290358988706e-06,5.5051456430088805e-05
5.1584e-05,8,6.144059236778078e-05,1.6514524658042578e-05,3.771813820259693e-05,8.033433453845435e-05
0.000103168,8,0.00012604390700143064,1.755489764138874e-05,9.62650836261685e-05,0.00015044374224855382
0.000206336,8,0.00023984683698711337,2.1292849816824382e-05,0.00020213780675452573,0.0002677704411531093
0.000412672,6,0.00047276547094047807,2.58083961613148e-05,0.0004337083874030135,0.0005023602941402904
0.000825344,6,0.0007630484914660122,3.0529147075073723e-05,0.0007113605708903203,0.0007922761450428836
